Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs
cosmetics,010300095,18.2,97.0,897.0,$9195.84,Unknown,57.0,,65.0,5.0,Carrier A,$4.95,Supplier 1,Chennai,14.0,949.0,19.0,$67.44,,2.16,Air,C,182.17
skincare,010300096,39.53,26.0,,$2614.4,Female,1.0,2.0,30.0,8.0,Carrier A,$3.94,Supplier 5,Bangalore,14.0,286.0,29.0,$67.39,Pending,1.57,Air,routeA,
cosmetics,010300097,79.84,13.0,,$3054.92,Non-binary,67.0,24.0,60.0,9.0,Carrier C,$6.92,Supplier 3,Delhi,10.0,310.0,,$55.02,Fail,3.05,Rail,B route,635.31
cosmetics,010300098,53.72,85.0,646.0,$6959.23,Non-binary,36.0,10.0,76.0,2.0,Carrier B,$6.26,Supplier 4,Kolkata,4.0,256.0,8.0,$77.66,Pending,0.59,Rail,A route,917.21
haircare,010300099,43.93,58.0,353.0,$8122.05,Male,52.0,17.0,3.0,9.0,Carrier B,$6.84,Supplier 5,Bangalore,7.0,873.0,28.0,$56.36,Pending,0.24,Air,A,
cosmetics,010300100,46.61,1.0,606.0,$2396.14,Unknown,96.0,16.0,15.0,3.0,Carrier C,$3.07,Supplier 5,Bangalore,5.0,982.0,1.0,$54.52,Pending,1.53,Rail,b,254.75
cosmetics,010300101,85.62,48.0,790.0,$9997.04,Unknown,24.0,2.0,42.0,,Carrier A,,Supplier 3,Delhi,29.0,686.0,8.0,$95.02,Pass,2.55,Sea,b,588.0
skincare,0103000102,8.42,76.0,45.0,$5897.41,Female,79.0,6.0,24.0,4.0,Carrier C,$3.84,Supplier 5,Delhi,18.0,970.0,18.0,$59.13,Pass,4.97,Road,c,802.63
cosmetics,010300110,45.7,50.0,,$7618.74,Female,43.0,,27.0,6.0,Carrier B,$4.17,Supplier 1,Chennai,18.0,426.0,5.0,$96.77,Fail,,Rail,route_B,439.79
,010300114,74.69,96.0,54.0,$7981.9,Male,35.0,28.0,,8.0,Carrier B,$3.59,Supplier 1,Bangalore,29.0,394.0,7.0,,Fail,,Sea,,820.88
