Product type,SKU,Estimated price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,Demurrage
skincare,C626335-1825/11,61400.0,64.0,618.0,$8910.7,Non-binary,64.0,8.0,22.0,1.0,Carrier B,,Supplier 5,Kolkata,22.0,,8.0,$93.0,Pending,0.51,Sea,route_A,264.03,
skincare,C626335-1824-10,36400.0,91.0,587.0,$1775.96,Male,16.0,20.0,20.0,2.0,Carrier A,$953.00,Supplier 5,,20.0,710.0,8.0,$95.86,Pass,2.45,Sea,routeB,829.98,428483.0
cosmetics,C626335-1826/11,21600.0,66.0,331.0,$8174.46,Male,52.0,9.0,,4.0,Carrier C,$857.00,Supplier 4,Kolkata,8.0,475.0,4.0,$31.24,Pass,1.07,Road,b,722.0,2309382.0
,C626335-1018/11,73460.0,13.0,900.0,$1866.92,Male,11.0,26.0,66.0,3.0,Carrier C,$733.00,Supplier 1,Bangalore,18.0,108.0,22.0,$66.88,Fail,2.7,Sea,B route,909.71,0.0
cosmetics,C626347-1825/11,70760.0,53.0,943.0,$4485.79,Female,61.0,13.0,31.0,6.0,Carrier B,$302.00,Supplier 3,,13.0,357.0,6.0,$22.62,Pending,0.3,Rail,routeB,158.02,0.0
cosmetics,C626347-1824-10,21570.0,79.0,494.0,$3766.05,Male,18.0,18.0,24.0,1.0,Carrier B,$896.00,Supplier 1,Bangalore,8.0,301.0,,$23.01,Pass,2.13,Sea,B route,409.71,0.0
,C626347-1826/11,46550.0,,609.0,$5808.38,Unknown,32.0,21.0,77.0,4.0,Carrier C,$356.00,Supplier 3,,5.0,858.0,4.0,$34.19,Pass,1.25,Sea,B,188.94,0.0
skincare,C622947-21018/1,99950.0,89.0,89.0,$2568.07,Non-binary,34.0,2.0,56.0,9.0,Carrier A,$644.00,Supplier 2,Chennai,10.0,216.0,10.0,$88.82,Pass,0.57,Rail,C route,292.79,1095865.0
haircare,C626330-1815/11,73800.0,41.0,284.0,$3446.63,Non-binary,37.0,,84.0,1.0,Carrier C,$473.00,Supplier 1,Bangalore,13.0,812.0,6.0,$97.86,Fail,0.4,Rail,C,702.25,0.0
skincare,C626330-1824/10,16430.0,79.0,126.0,$1563.87,Non-binary,92.0,,34.0,,,$835.00,Supplier 2,Mumbai,10.0,519.0,8.0,$39.87,Pass,4.82,Sea,a,309.82,
skincare,C626330-1826/11,66890.0,80.0,517.0,,Unknown,31.0,28.0,20.0,4.0,Carrier B,,Supplier 3,Delhi,17.0,509.0,18.0,$94.66,Pass,2.64,Road,,582.36,577359.0
haircare,C626330-21018/1,10970.0,87.0,66.0,$3051.09,Non-binary,90.0,19.0,98.0,4.0,Carrier B,$935.00,,,14.0,269.0,28.0,$40.13,Pass,0.24,Rail,a,974.28,0.0
skincare,C629565-21420/0,29100.0,37.0,109.0,$2211.85,Unknown,4.0,5.0,21.0,6.0,Carrier C,$927.00,Supplier 4,Bangalore,,392.0,1.0,$43.0,Pass,,Rail,route_B,641.56,1334116.0
haircare,C629565-21419/0,97590.0,91.0,379.0,$8775.77,Non-binary,9.0,26.0,56.0,7.0,Carrier A,$108.00,Supplier 2,,2.0,468.0,,$82.07,Pass,1.11,Sea,,384.04,0.0
skincare,C629551-21420/0,98010.0,7.0,65.0,$8652.31,Unknown,63.0,18.0,11.0,8.0,Carrier B,$467.00,Supplier 5,Bangalore,,,12.0,$16.45,Fail,2.37,Air,,198.87,1917441.0
