Product type,SKU,Estimated price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,Demurrage
cosmetics,010300095,18200.0,97.0,897.0,$9195.84,Unknown,57.0,,65.0,5.0,Carrier A,$495.00,Supplier 1,Chennai,14.0,949.0,19.0,$67.44,,2.16,Air,C,182.17,0.0
skincare,010300096,39530.0,26.0,,$2614.4,Female,1.0,2.0,30.0,8.0,Carrier A,$394.00,Supplier 5,Bangalore,14.0,286.0,29.0,$67.39,Pending,1.57,Air,routeA,,0.0
cosmetics,010300097,79840.0,13.0,,$3054.92,Non-binary,67.0,24.0,60.0,9.0,Carrier C,$692.00,Supplier 3,Delhi,10.0,310.0,,$55.02,Fail,3.05,Rail,B route,635.31,2443736.0
cosmetics,010300098,53720.0,85.0,646.0,$6959.23,Non-binary,36.0,10.0,76.0,2.0,Carrier B,$626.00,Supplier 4,Kolkata,4.0,256.0,8.0,$77.66,Pending,0.59,Rail,A route,917.21,0.0
haircare,010300099,43930.0,58.0,353.0,$8122.05,Male,52.0,17.0,3.0,9.0,Carrier B,$684.00,Supplier 5,Bangalore,7.0,873.0,28.0,$56.36,Pending,0.24,Air,A,,2426912.0
cosmetics,010300100,46610.0,1.0,606.0,$2396.14,Unknown,96.0,16.0,15.0,3.0,Carrier C,$307.00,Supplier 5,Bangalore,5.0,982.0,1.0,$54.52,Pending,1.53,Rail,b,254.75,0.0
cosmetics,010300101,85620.0,48.0,790.0,$9997.04,Unknown,24.0,2.0,42.0,,Carrier A,,Supplier 3,Delhi,29.0,686.0,8.0,$95.02,Pass,2.55,Sea,b,588.0,966838.0
skincare,0103000102,8420.0,76.0,45.0,$5897.41,Female,79.0,6.0,24.0,4.0,Carrier C,$384.00,Supplier 5,Delhi,18.0,970.0,18.0,$59.13,Pass,4.97,Road,c,802.63,2024086.0
cosmetics,010300110,45700.0,50.0,,$7618.74,Female,43.0,,27.0,6.0,Carrier B,$417.00,Supplier 1,Chennai,18.0,426.0,5.0,$96.77,Fail,,Rail,route_B,439.79,1348901.0
,010300114,74690.0,96.0,54.0,$7981.9,Male,35.0,28.0,,8.0,Carrier B,$359.00,Supplier 1,Bangalore,29.0,394.0,7.0,,Fail,,Sea,,820.88,0.0
cosmetics,010300115,62840.0,17.0,897.0,$9948.84,Non-binary,,1.0,1.0,8.0,Carrier B,$533.00,Supplier 5,Kolkata,23.0,606.0,5.0,$73.61,Pending,2.73,Sea,B route,178.84,0.0
skincare,010300116,9620.0,89.0,285.0,$3843.45,Male,59.0,,98.0,3.0,Carrier A,$766.00,,Kolkata,1.0,,6.0,$90.57,Pass,4.24,Rail,,115.41,1404493.0
haircare,010300117,74450.0,99.0,319.0,,Female,61.0,19.0,57.0,4.0,Carrier C,$247.00,Supplier 3,Kolkata,2.0,345.0,14.0,$83.29,Pending,4.92,Sea,c,117.44,0.0
skincare,010300118,53180.0,37.0,9.0,$1666.02,Unknown,96.0,12.0,14.0,7.0,Carrier C,$547.00,Supplier 4,Delhi,,217.0,20.0,$25.88,Fail,4.98,Sea,a,448.42,0.0
