Product type,SKU,Estimated price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,Demurrage
cosmetics,062000005,4350.0,98.0,216.0,$5513.64,,28.0,5.0,16.0,6.0,Carrier C,$320.00,Supplier 1,Kolkata,28.0,406.0,9.0,$98.49,Fail,3.27,Rail,A route,329.95,0.0
cosmetics,062000004,31840.0,11.0,407.0,$1638.02,Unknown,41.0,7.0,59.0,7.0,Carrier B,$713.00,Supplier 1,,6.0,599.0,15.0,$67.15,Fail,0.52,Rail,c,,1365082.0
haircare,062000002,78270.0,10.0,399.0,,Male,66.0,26.0,81.0,4.0,Carrier A,$209.00,Supplier 5,Bangalore,12.0,721.0,28.0,$49.86,,1.27,Road,a,996.28,0.0
haircare,062000003,,15.0,923.0,$9417.67,Non-binary,25.0,26.0,,4.0,Carrier A,$202.00,,Bangalore,11.0,,12.0,$54.2,Fail,,Sea,C route,817.38,0.0
cosmetics,062000007,22790.0,17.0,715.0,$8656.12,Non-binary,58.0,24.0,79.0,7.0,Carrier A,$470.00,Supplier 1,Kolkata,16.0,168.0,21.0,$71.42,Pending,3.35,Rail,b,407.65,0.0
skincare,062000006,22060.0,40.0,704.0,,,41.0,12.0,16.0,6.0,,$683.00,,Chennai,20.0,801.0,28.0,$19.14,Pass,0.07,Air,route_C,910.53,1308003.0
haircare,1CUB0040GE,52000.0,18.0,761.0,$6651.94,Male,6.0,16.0,15.0,8.0,Carrier C,$741.00,Supplier 3,Mumbai,17.0,790.0,27.0,,,,Sea,A,146.06,0.0
cosmetics,1CRG0020GE,97580.0,55.0,,$3227.59,Unknown,75.0,23.0,98.0,1.0,Carrier B,$261.00,Supplier 4,Kolkata,20.0,674.0,26.0,,Fail,3.41,Air,C,752.51,0.0
haircare,1CUB0020GE,,,754.0,$2465.34,Male,38.0,8.0,11.0,7.0,Carrier A,,,Chennai,9.0,167.0,9.0,$16.6,Fail,3.82,Rail,route_A,,1511910.0
haircare,1CUB0050GE,56170.0,25.0,465.0,$2682.23,Female,6.0,28.0,65.0,7.0,Carrier B,$946.00,Supplier 3,Chennai,1.0,817.0,14.0,$27.63,Pending,4.2,Sea,route_B,,0.0
skincare,1MES0012GE,86200.0,,691.0,$1178.16,Non-binary,45.0,9.0,79.0,7.0,Carrier B,$335.00,Supplier 5,Chennai,26.0,507.0,,$53.67,Pass,1.46,Rail,route_A,988.83,0.0
cosmetics,1VBA0260GE,53970.0,78.0,949.0,$4516.14,Unknown,75.0,15.0,90.0,7.0,Carrier A,$868.00,Supplier 1,Delhi,3.0,617.0,28.0,$80.63,Pass,4.66,Rail,a,424.8,1633889.0
cosmetics,1VBA0140GE,19260.0,89.0,974.0,$2722.85,Female,14.0,5.0,68.0,8.0,,$877.00,Supplier 1,Delhi,21.0,218.0,26.0,$53.69,Fail,2.76,Sea,route_A,838.45,0.0
skincare,1VBA0600GE,30660.0,22.0,731.0,$4704.9,Female,66.0,13.0,43.0,9.0,Carrier C,,Supplier 3,Chennai,23.0,924.0,6.0,$40.19,Fail,3.48,Rail,,438.48,1133670.0
skincare,1VBA0300GE,31680.0,30.0,82.0,,Unknown,40.0,5.0,69.0,9.0,Carrier B,$252.00,Supplier 1,Bangalore,9.0,,19.0,$17.41,Fail,2.98,Sea,route_A,856.03,0.0
cosmetics,1VBA0580GE,40330.0,84.0,604.0,$4874.86,Unknown,3.0,11.0,99.0,2.0,Carrier A,$840.00,Supplier 2,Delhi,22.0,617.0,4.0,$59.53,Fail,,,route_A,968.9,2222590.0
cosmetics,1VBF0760GE,43250.0,85.0,947.0,$8901.86,Female,99.0,10.0,13.0,7.0,Carrier C,$792.00,,Kolkata,19.0,582.0,,,Pass,4.82,Road,,491.98,0.0
skincare,1VBF0810GE,80180.0,44.0,687.0,$6449.54,Male,97.0,20.0,10.0,7.0,Carrier C,$637.00,Supplier 4,Delhi,13.0,306.0,17.0,$65.34,Pending,0.61,Air,b,603.41,0.0
