product_type,sku,estimated_price,availability,number_of_products_sold,revenue_generated,customer_demographics,stock_levels,lead_times,order_quantities,shipping_times,shipping_carriers,shipping_costs,supplier_name,location,lead_time,production_volumes,manufacturing_lead_time,manufacturing_costs,inspection_results,defect_rates,transportation_modes,routes,costs,demurrage,demurrage_bin
cosmetics,062000007,22790.0,17.0,715.0,8656.12,Non-binary,58.0,24.0,79.0,7.0,Carrier A,470.0,Supplier 1,Kolkata,16.0,168.0,21.0,71.42,Pending,3.35,Rail,Route_B,407.65,0.0,False
cosmetics,1VBA0260GE,53970.0,78.0,949.0,4516.14,Unknown,75.0,15.0,90.0,7.0,Carrier A,868.0,Supplier 1,Delhi,3.0,617.0,28.0,80.63,Pass,4.66,Rail,Route_A,424.8,1633889.0,True
skincare,1VBF0810GE,80180.0,44.0,687.0,6449.54,Male,97.0,20.0,10.0,7.0,Carrier C,637.0,Supplier 4,Delhi,13.0,306.0,17.0,65.34,Pending,0.61,Air,Route_B,603.41,0.0,False
skincare,1VMG0080GE,62870.0,46.0,903.0,1755.28,Female,18.0,21.0,98.0,8.0,Carrier C,210.0,Supplier 5,Delhi,20.0,486.0,29.0,29.09,Fail,3.09,Rail,Route_C,331.07,0.0,False
skincare,1VMG0140GE,83820.0,99.0,163.0,7097.87,Non-binary,88.0,18.0,50.0,2.0,Carrier A,627.0,Supplier 2,Chennai,23.0,941.0,17.0,97.18,Pending,2.58,Road,Route_B,392.25,0.0,False
haircare,1MES0008GE,8470.0,46.0,864.0,9913.26,Unknown,93.0,21.0,48.0,5.0,Carrier A,939.0,Supplier 5,Kolkata,28.0,924.0,22.0,12.99,Pass,3.73,Rail,Route_B,212.51,0.0,False
skincare,1VRH0080GE,51050.0,2.0,720.0,2839.97,Unknown,80.0,13.0,56.0,7.0,Carrier B,383.0,Supplier 2,Bangalore,15.0,534.0,20.0,84.11,Fail,4.16,Air,Route_C,394.55,777408.0,True
skincare,1VRH0090GE,59910.0,29.0,114.0,5677.34,Male,55.0,13.0,35.0,2.0,Carrier A,216.0,Supplier 2,Mumbai,13.0,120.0,21.0,98.36,Pass,2.96,Air,Route_C,731.56,1568905.0,True
haircare,1VRT0450GE,72360.0,50.0,683.0,6676.3,Male,6.0,13.0,89.0,1.0,Carrier A,130.0,Supplier 3,Kolkata,14.0,548.0,26.0,43.43,Pass,3.08,Air,Route_B,634.83,2383912.0,True
haircare,1MES0046GE,14970.0,22.0,277.0,1615.01,Female,10.0,16.0,22.0,1.0,Carrier B,565.0,Supplier 5,Mumbai,24.0,389.0,25.0,93.7,Fail,1.39,Sea,Route_A,863.91,0.0,False
